Time [s],Packet ID,MOSI,MISO
0.000429300000000,,0b  0000  0000,
0.004330070000000,,0b  0010  0011,
0.008222360000000,,0b  0011  0010,
0.012112900000000,,0b  0101  1001,
0.016006470000000,,0b  0101  0001,
0.019903390000000,,0b  0011  0010,
0.023797790000000,,0b  0101  1111,
0.027692190000000,,0b  0011  0111,
0.031585200000000,,0b  0110  1110,
0.035475660000000,,0b  0000  0010,
0.039369680000000,,0b  1110  1100,
0.043263960000000,,0b  1101  1101,
0.047156970000000,,0b  1000  1011,
0.051048380000000,,0b  0011  1001,
0.054944060000000,,0b  0101  0001,
0.058835020000000,,0b  1001  1000,
0.062733050000000,,0b  1111  0001,
0.066626130000000,,0b  0111  1001,
0.070520810000000,,0b  0000  1000,
0.074411910000000,,0b  1100  1111,
0.078301570000000,,0b  1010  0101,
0.082197370000000,,0b  0111  1010,
0.086088510000000,,0b  0110  0010,
0.089981110000000,,0b  0111  1010,
0.093873890000000,,0b  0001  0100,
0.097769700000000,,0b  0001  1111,
0.101660750000000,,0b  0110  1010,
0.105555340000000,,0b  0111  1101,
0.109445580000000,,0b  0011  1110,
0.113335470000000,,0b  1000  0110,
0.117227910000000,,0b  1101  1010,
0.121124460000000,,0b  0001  1100,
0.125014950000000,,0b  0111  1001,
0.128915620000000,,0b  0101  0010,
0.132807560000000,,0b  0110  0111,
0.136702460000000,,0b  0001  0100,
0.140594360000000,,0b  1101  1100,
0.144484710000000,,0b  0101  1110,
0.148381070000000,,0b  0110  0000,
0.152274580000000,,0b  0001  0000,
0.156165350000000,,0b  1010  1010,
0.160061270000000,,0b  0001  0101,
0.163953170000000,,0b  1111  0001,
0.167848960000000,,0b  1000  1001,
0.171743740000000,,0b  0000  1110,
0.175634900000000,,0b  0011  0000,
0.179528060000000,,0b  0110  0101,
0.183422320000000,,0b  1000  1011,
0.187316070000000,,0b  0011  0001,
0.191202880000000,,0b  1101  1001,
0.195097420000000,,0b  0100  1000,
0.198993180000000,,0b  0010  0011,
0.202887040000000,,0b  1010  0011,
0.206779140000000,,0b  0100  1101,
0.210669920000000,,0b  0010  1101,
0.214561990000000,,0b  0110  1000,
0.218458000000000,,0b  1001  0101,
0.222349710000000,,0b  1010  0111,
0.226243550000000,,0b  0110  0101,
0.230136280000000,,0b  1000  1010,
0.234027690000000,,0b  0010  0000,
0.237922570000000,,0b  1100  0011,
0.241816190000000,,0b  0101  0010,
0.245702190000000,,0b  0111  1000,
0.249591570000000,,0b  1110  1011,
0.253481110000000,,0b  1111  0001,
0.257371250000000,,0b  0111  0100,
0.261262560000000,,0b  1101  0101,
0.265153290000000,,0b  0110  1101,
0.269044130000000,,0b  0000  0100,
0.272935380000000,,0b  1001  0110,
0.276834490000000,,0b  0100  1101,
0.280727260000000,,0b  1101  0101,
0.284623080000000,,0b  1110  0110,
0.288514400000000,,0b  1011  1010,
0.292404660000000,,0b  1011  0101,
0.296296850000000,,0b  0100  1110,
0.300187680000000,,0b  1001  1100,
0.304082740000000,,0b  0110  0001,
0.307974270000000,,0b  0101  0010,
0.311867310000000,,0b  1000  0001,
0.315762050000000,,0b  0111  0100,
0.319655720000000,,0b  1100  0100,
0.323546820000000,,0b  0111  1100,
0.327440780000000,,0b  1010  0101,
0.331331670000000,,0b  0011  0011,
0.335225050000000,,0b  1111  1001,
0.339118260000000,,0b  0101  1110,
0.343012870000000,,0b  0010  0011,
0.346897240000000,,0b  0010  0001,
0.350792660000000,,0b  0110  1010,
0.354683750000000,,0b  1100  0100,
0.358583870000000,,0b  1010  0011,
0.362472990000000,,0b  0101  1101,
0.366368060000000,,0b  0010  1101,
0.370262060000000,,0b  1101  0011,
0.374156110000000,,0b  0010  1010,
0.378051430000000,,0b  0100  1000,
0.381947130000000,,0b  1010  0110,
0.385836100000000,,0b  1111  0011,
0.389726830000000,,0b  1110  0010,
0.393618550000000,,0b  1010  0001,
0.397514600000000,,0b  0010  0000,
0.401406710000000,,0b  1110  0100,
0.405303320000000,,0b  0010  0100,
0.409195370000000,,0b  0100  1001,
0.413089630000000,,0b  1101  0011,
0.416982950000000,,0b  1010  1110,
0.420877160000000,,0b  0000  1001,
0.424773810000000,,0b  0001  0011,
0.428665080000000,,0b  0110  0101,
0.432558040000000,,0b  1111  0001,
0.436452520000000,,0b  1001  1000,
0.440346760000000,,0b  0001  1111,
0.444241720000000,,0b  1001  0001,
0.448137010000000,,0b  1100  0000,
0.452032370000000,,0b  0011  1111,
0.455925690000000,,0b  1011  1010,
0.459817990000000,,0b  0001  1100,
0.463713300000000,,0b  1101  0011,
0.467604490000000,,0b  1111  1100,
0.471496970000000,,0b  0010  1001,
0.475388770000000,,0b  0111  0010,
0.479287060000000,,0b  0001  0001,
0.483180530000000,,0b  0001  0111,
0.487067710000000,,0b  1100  0111,
0.490961550000000,,0b  1111  1001,
0.494854890000000,,0b  1110  1001,
0.498746300000000,,0b  0101  0000,
0.502638290000000,,0b  0111  0110,
0.506532170000000,,0b  0001  0010,
0.510421750000000,,0b  0000  1010,
0.514321170000000,,0b  0000  0110,
0.518212220000000,,0b  0010  1100,
0.522110530000000,,0b  1111  0100,
0.526002100000000,,0b  0101  0111,
0.529893710000000,,0b  1100  0010,
0.533788940000000,,0b  0110  0000,
0.537686860000000,,0b  0101  0000,
0.541580020000000,,0b  1010  1000,
0.545477200000000,,0b  1111  1011,
0.549369280000000,,0b  0000  1110,
0.553261350000000,,0b  0011  0110,
0.557154880000000,,0b  0000  0011,
0.561050860000000,,0b  1101  0111,
0.564943940000000,,0b  0110  1100,
0.568838280000000,,0b  0000  0010,
0.572731580000000,,0b  1111  1011,
0.576622600000000,,0b  1010  1010,
0.580516910000000,,0b  0111  0110,
0.584406040000000,,0b  1100  0001,
0.588301320000000,,0b  0011  1110,
0.592188580000000,,0b  1010  0000,
0.596087550000000,,0b  1011  1101,
0.599981300000000,,0b  0011  0111,
0.603872360000000,,0b  0101  1011,
0.607759250000000,,0b  0101  0110,
0.611653010000000,,0b  0101  0010,
0.615546640000000,,0b  0110  1110,
0.619438670000000,,0b  1000  1101,
0.623332860000000,,0b  0001  0110,
0.627220460000000,,0b  1001  0110,
0.631116960000000,,0b  1110  0001,
0.635006130000000,,0b  0001  1101,
0.638904580000000,,0b  1111  0100,
0.642790580000000,,0b  1000  0001,
0.646688030000000,,0b  1010  0011,
0.650574490000000,,0b  1011  0100,
0.654465520000000,,0b  1011  0010,
0.658357190000000,,0b  0101  1101,
0.662252200000000,,0b  1001  1101,
0.666145300000000,,0b  1101  0111,
0.670031940000000,,0b  0011  1011,
0.673922980000000,,0b  0111  0111,
0.677812310000000,,0b  1110  1000,
0.681709800000000,,0b  1010  1101,
0.685593280000000,,0b  1010  0110,
0.689487640000000,,0b  1111  0100,
0.693370970000000,,0b  1001  0101,
0.697268840000000,,0b  1110  0111,
0.701158890000000,,0b  0110  0111,
0.705050220000000,,0b  0110  0100,
0.708932880000000,,0b  1101  1111,
0.712827180000000,,0b  0111  1100,
0.716716280000000,,0b  0101  1111,
0.720611560000000,,0b  1001  1111,
0.724503720000000,,0b  1110  0010,
0.728396080000000,,0b  0111  1000,
0.732286850000000,,0b  1011  1110,
0.736175970000000,,0b  1010  0110,
0.740070260000000,,0b  0101  0011,
0.743959780000000,,0b  1110  0110,
0.747851720000000,,0b  0000  1011,
0.751742520000000,,0b  1010  0000,
0.755639550000000,,0b  0100  0101,
0.759528000000000,,0b  1011  1001,
0.763423590000000,,0b  0111  0100,
0.767317290000000,,0b  0100  0100,
0.771212910000000,,0b  0111  1001,
0.775099820000000,,0b  0111  1000,
0.779001510000000,,0b  1100  1100,
0.782888390000000,,0b  1000  0111,
0.786778880000000,,0b  0100  0101,
0.790665780000000,,0b  1110  1101,
0.794560110000000,,0b  0011  0010,
0.798452930000000,,0b  0111  1001,
0.802348480000000,,0b  0101  0000,
0.806240560000000,,0b  0100  0101,
0.810135300000000,,0b  0010  0000,
0.814026920000000,,0b  1110  1000,
0.817918040000000,,0b  1110  1000,
0.821811690000000,,0b  1111  0001,
0.825705170000000,,0b  0110  1000,
0.829596140000000,,0b  0001  1001,
0.833491020000000,,0b  0110  1110,
0.837386880000000,,0b  0000  0000,
0.841279710000000,,0b  1100  1110,
0.845173970000000,,0b  1110  1001,
0.849062730000000,,0b  1011  1111,
0.852952660000000,,0b  1000  1111,
0.856844920000000,,0b  1100  0000,
0.860746440000000,,0b  1110  0000,
0.864641450000000,,0b  0100  0010,
0.868538930000000,,0b  0000  0010,
0.872430460000000,,0b  1111  1001,
0.876324810000000,,0b  1000  1000,
0.880217210000000,,0b  0100  0010,
0.884108030000000,,0b  1111  0101,
0.888002420000000,,0b  1000  1000,
0.891895000000000,,0b  0011  0001,
0.895785400000000,,0b  1100  0101,
0.899684800000000,,0b  1000  0100,
0.903577770000000,,0b  0010  0000,
0.907472040000000,,0b  1010  0111,
0.911364130000000,,0b  0001  0101,
0.915255810000000,,0b  1000  1001,
0.919149100000000,,0b  0000  0010,
0.923041470000000,,0b  1111  1100,
0.926937590000000,,0b  1101  1101,
0.930828990000000,,0b  0011  0000,
0.934725370000000,,0b  1000  0110,
0.938617250000000,,0b  1011  1110,
0.942515540000000,,0b  0101  1011,
0.946408440000000,,0b  1000  1000,
0.950297550000000,,0b  1011  1011,
0.954194100000000,,0b  0110  1010,
0.958085720000000,,0b  1011  1101,
0.961977960000000,,0b  0011  1001,
0.965869730000000,,0b  1011  0101,
0.969760220000000,,0b  1101  1010,
0.973646850000000,,0b  1101  1101,
0.977545810000000,,0b  0110  1111,
0.981436290000000,,0b  0111  1011,
0.985329290000000,,0b  0111  1101,
0.989220790000000,,0b  1000  1110,
0.993116310000000,,0b  1000  0010,
0.997008050000000,,0b  1100  1011,
